FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EURO_LABOUR_STATUS,Condizione lavorativa europea,Y_STUDENT,Studente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,0,No,2022,95,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,0,No,2023,39,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,0,No,2024,40,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,0,No,2025,24,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,1,Si,2018,1203,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,1,Si,2019,1202,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,1,Si,2020,1214,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,1,Si,2021,1173,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,1,Si,2022,1210,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,1,Si,2023,1262,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,1,Si,2024,1279,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,1,Si,2025,1348,,
