territorio,sesso,fascia_eta,condizione_lavorativa,status_studente,anno,valore_migliaia
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Si,2025,1348
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Totale,2018,1283
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Totale,2019,1277
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Totale,2020,1289
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Totale,2021,1296
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Totale,2022,1305
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Totale,2023,1301
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Totale,2024,1319
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Totale,2025,1373
Italia,Maschi,15-19 anni,Totale,No,2018,243
Italia,Maschi,15-19 anni,Totale,No,2019,238
Italia,Maschi,15-19 anni,Totale,No,2020,222
Italia,Maschi,15-19 anni,Totale,No,2021,263
Italia,Maschi,15-19 anni,Totale,No,2022,229
Italia,Maschi,15-19 anni,Totale,No,2023,183
Italia,Maschi,15-19 anni,Totale,No,2024,178
Italia,Maschi,15-19 anni,Totale,No,2025,129
Italia,Maschi,15-19 anni,Totale,Si,2018,1241
Italia,Maschi,15-19 anni,Totale,Si,2019,1238
Italia,Maschi,15-19 anni,Totale,Si,2020,1249
Italia,Maschi,15-19 anni,Totale,Si,2021,1204
Italia,Maschi,15-19 anni,Totale,Si,2022,1246
Italia,Maschi,15-19 anni,Totale,Si,2023,1304
Italia,Maschi,15-19 anni,Totale,Si,2024,1319
Italia,Maschi,15-19 anni,Totale,Si,2025,1376
Italia,Maschi,15-19 anni,Totale,Totale,2018,1484
Italia,Maschi,15-19 anni,Totale,Totale,2019,1476
Italia,Maschi,15-19 anni,Totale,Totale,2020,1471
Italia,Maschi,15-19 anni,Totale,Totale,2021,1467
Italia,Maschi,15-19 anni,Totale,Totale,2022,1475
Italia,Maschi,15-19 anni,Totale,Totale,2023,1487
Italia,Maschi,15-19 anni,Totale,Totale,2024,1496
Italia,Maschi,15-19 anni,Totale,Totale,2025,1505
Italia,Maschi,20-24 anni,Forze lavoro,No,2018,705
Italia,Maschi,20-24 anni,Forze lavoro,No,2019,703
Italia,Maschi,20-24 anni,Forze lavoro,No,2020,679
Italia,Maschi,20-24 anni,Forze lavoro,No,2021,692
Italia,Maschi,20-24 anni,Forze lavoro,No,2022,706
Italia,Maschi,20-24 anni,Forze lavoro,No,2023,711
Italia,Maschi,20-24 anni,Forze lavoro,No,2024,691
Italia,Maschi,20-24 anni,Forze lavoro,No,2025,648
Italia,Maschi,20-24 anni,Forze lavoro,Si,2018,54
Italia,Maschi,20-24 anni,Forze lavoro,Si,2019,55
Italia,Maschi,20-24 anni,Forze lavoro,Si,2020,52
Italia,Maschi,20-24 anni,Forze lavoro,Si,2021,67
Italia,Maschi,20-24 anni,Forze lavoro,Si,2022,79
Italia,Maschi,20-24 anni,Forze lavoro,Si,2023,80
Italia,Maschi,20-24 anni,Forze lavoro,Si,2024,76
Italia,Maschi,20-24 anni,Forze lavoro,Si,2025,61
Italia,Maschi,20-24 anni,Forze lavoro,Totale,2018,759
Italia,Maschi,20-24 anni,Forze lavoro,Totale,2019,758
Italia,Maschi,20-24 anni,Forze lavoro,Totale,2020,731
Italia,Maschi,20-24 anni,Forze lavoro,Totale,2021,759
Italia,Maschi,20-24 anni,Forze lavoro,Totale,2022,785
Italia,Maschi,20-24 anni,Forze lavoro,Totale,2023,791
Italia,Maschi,20-24 anni,Forze lavoro,Totale,2024,767
Italia,Maschi,20-24 anni,Forze lavoro,Totale,2025,710
Italia,Maschi,20-24 anni,Occupati,No,2018,506
Italia,Maschi,20-24 anni,Occupati,No,2019,523
Italia,Maschi,20-24 anni,Occupati,No,2020,502
Italia,Maschi,20-24 anni,Occupati,No,2021,519
Italia,Maschi,20-24 anni,Occupati,No,2022,558
Italia,Maschi,20-24 anni,Occupati,No,2023,570
Italia,Maschi,20-24 anni,Occupati,No,2024,567
Italia,Maschi,20-24 anni,Occupati,No,2025,534
Italia,Maschi,20-24 anni,Occupati,Si,2018,43
Italia,Maschi,20-24 anni,Occupati,Si,2019,45
Italia,Maschi,20-24 anni,Occupati,Si,2020,41
Italia,Maschi,20-24 anni,Occupati,Si,2021,54
Italia,Maschi,20-24 anni,Occupati,Si,2022,69
Italia,Maschi,20-24 anni,Occupati,Si,2023,70
Italia,Maschi,20-24 anni,Occupati,Si,2024,69
Italia,Maschi,20-24 anni,Occupati,Si,2025,50
Italia,Maschi,20-24 anni,Occupati,Totale,2018,549
Italia,Maschi,20-24 anni,Occupati,Totale,2019,569
Italia,Maschi,20-24 anni,Occupati,Totale,2020,544
Italia,Maschi,20-24 anni,Occupati,Totale,2021,573
Italia,Maschi,20-24 anni,Occupati,Totale,2022,627
Italia,Maschi,20-24 anni,Occupati,Totale,2023,640
Italia,Maschi,20-24 anni,Occupati,Totale,2024,636
Italia,Maschi,20-24 anni,Occupati,Totale,2025,584
Italia,Maschi,20-24 anni,Disoccupati,No,2018,199
Italia,Maschi,20-24 anni,Disoccupati,No,2019,180
Italia,Maschi,20-24 anni,Disoccupati,No,2020,177
Italia,Maschi,20-24 anni,Disoccupati,No,2021,173
Italia,Maschi,20-24 anni,Disoccupati,No,2022,148
Italia,Maschi,20-24 anni,Disoccupati,No,2023,142
Italia,Maschi,20-24 anni,Disoccupati,No,2024,124
Italia,Maschi,20-24 anni,Disoccupati,No,2025,114
Italia,Maschi,20-24 anni,Disoccupati,Si,2018,11
Italia,Maschi,20-24 anni,Disoccupati,Si,2019,10
Italia,Maschi,20-24 anni,Disoccupati,Si,2020,10
Italia,Maschi,20-24 anni,Disoccupati,Si,2021,13
Italia,Maschi,20-24 anni,Disoccupati,Si,2022,10
Italia,Maschi,20-24 anni,Disoccupati,Si,2023,10
Italia,Maschi,20-24 anni,Disoccupati,Si,2024,7
Italia,Maschi,20-24 anni,Disoccupati,Si,2025,11
Italia,Maschi,20-24 anni,Disoccupati,Totale,2018,210
Italia,Maschi,20-24 anni,Disoccupati,Totale,2019,189
Italia,Maschi,20-24 anni,Disoccupati,Totale,2020,187
Italia,Maschi,20-24 anni,Disoccupati,Totale,2021,186
Italia,Maschi,20-24 anni,Disoccupati,Totale,2022,158
Italia,Maschi,20-24 anni,Disoccupati,Totale,2023,151
Italia,Maschi,20-24 anni,Disoccupati,Totale,2024,131
Italia,Maschi,20-24 anni,Disoccupati,Totale,2025,125
Italia,Maschi,20-24 anni,Totale inattivi,No,2018,223
Italia,Maschi,20-24 anni,Totale inattivi,No,2019,218
Italia,Maschi,20-24 anni,Totale inattivi,No,2020,245
Italia,Maschi,20-24 anni,Totale inattivi,No,2021,237
Italia,Maschi,20-24 anni,Totale inattivi,No,2022,207
Italia,Maschi,20-24 anni,Totale inattivi,No,2023,171
Italia,Maschi,20-24 anni,Totale inattivi,No,2024,167
Italia,Maschi,20-24 anni,Totale inattivi,No,2025,144
Italia,Maschi,20-24 anni,Totale inattivi,Si,2018,532
Italia,Maschi,20-24 anni,Totale inattivi,Si,2019,539
Italia,Maschi,20-24 anni,Totale inattivi,Si,2020,537
Italia,Maschi,20-24 anni,Totale inattivi,Si,2021,522
Italia,Maschi,20-24 anni,Totale inattivi,Si,2022,524
Italia,Maschi,20-24 anni,Totale inattivi,Si,2023,545
Italia,Maschi,20-24 anni,Totale inattivi,Si,2024,585
Italia,Maschi,20-24 anni,Totale inattivi,Si,2025,677
Italia,Maschi,20-24 anni,Totale inattivi,Totale,2018,755
Italia,Maschi,20-24 anni,Totale inattivi,Totale,2019,757
Italia,Maschi,20-24 anni,Totale inattivi,Totale,2020,782
Italia,Maschi,20-24 anni,Totale inattivi,Totale,2021,759
Italia,Maschi,20-24 anni,Totale inattivi,Totale,2022,731
Italia,Maschi,20-24 anni,Totale inattivi,Totale,2023,716
Italia,Maschi,20-24 anni,Totale inattivi,Totale,2024,752
Italia,Maschi,20-24 anni,Totale inattivi,Totale,2025,821
Italia,Maschi,20-24 anni,Forze lavoro potenziali,No,2018,143
Italia,Maschi,20-24 anni,Forze lavoro potenziali,No,2019,137
Italia,Maschi,20-24 anni,Forze lavoro potenziali,No,2020,162
Italia,Maschi,20-24 anni,Forze lavoro potenziali,No,2021,143
Italia,Maschi,20-24 anni,Forze lavoro potenziali,No,2022,122
Italia,Maschi,20-24 anni,Forze lavoro potenziali,No,2023,104
Italia,Maschi,20-24 anni,Forze lavoro potenziali,No,2024,102
Italia,Maschi,20-24 anni,Forze lavoro potenziali,No,2025,91
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Si,2018,33
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Si,2019,30
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Si,2020,31
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Si,2021,33
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Si,2022,23
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Si,2023,23
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Si,2024,21
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Si,2025,29
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Totale,2018,176
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Totale,2019,167
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Totale,2020,193
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Totale,2021,176
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Totale,2022,145
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Totale,2023,127
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Totale,2024,123
Italia,Maschi,20-24 anni,Forze lavoro potenziali,Totale,2025,120
Italia,Maschi,20-24 anni,Non cercano e non disponibili,No,2018,80
Italia,Maschi,20-24 anni,Non cercano e non disponibili,No,2019,81
Italia,Maschi,20-24 anni,Non cercano e non disponibili,No,2020,83
Italia,Maschi,20-24 anni,Non cercano e non disponibili,No,2021,94
Italia,Maschi,20-24 anni,Non cercano e non disponibili,No,2022,85
Italia,Maschi,20-24 anni,Non cercano e non disponibili,No,2023,67
Italia,Maschi,20-24 anni,Non cercano e non disponibili,No,2024,65
Italia,Maschi,20-24 anni,Non cercano e non disponibili,No,2025,53
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Si,2018,499
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Si,2019,509
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Si,2020,506
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Si,2021,490
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Si,2022,500
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Si,2023,522
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Si,2024,564
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Si,2025,648
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Totale,2018,579
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Totale,2019,590
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Totale,2020,590
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Totale,2021,583
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Totale,2022,586
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Totale,2023,589
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Totale,2024,629
Italia,Maschi,20-24 anni,Non cercano e non disponibili,Totale,2025,701
Italia,Maschi,20-24 anni,Totale,No,2018,928
Italia,Maschi,20-24 anni,Totale,No,2019,921
Italia,Maschi,20-24 anni,Totale,No,2020,924
Italia,Maschi,20-24 anni,Totale,No,2021,928
Italia,Maschi,20-24 anni,Totale,No,2022,913
Italia,Maschi,20-24 anni,Totale,No,2023,883
Italia,Maschi,20-24 anni,Totale,No,2024,858
Italia,Maschi,20-24 anni,Totale,No,2025,792
Italia,Maschi,20-24 anni,Totale,Si,2018,586
Italia,Maschi,20-24 anni,Totale,Si,2019,594
Italia,Maschi,20-24 anni,Totale,Si,2020,589
Italia,Maschi,20-24 anni,Totale,Si,2021,590
Italia,Maschi,20-24 anni,Totale,Si,2022,603
Italia,Maschi,20-24 anni,Totale,Si,2023,625
Italia,Maschi,20-24 anni,Totale,Si,2024,661
Italia,Maschi,20-24 anni,Totale,Si,2025,738
Italia,Maschi,20-24 anni,Totale,Totale,2018,1514
Italia,Maschi,20-24 anni,Totale,Totale,2019,1515
Italia,Maschi,20-24 anni,Totale,Totale,2020,1513
Italia,Maschi,20-24 anni,Totale,Totale,2021,1518
Italia,Maschi,20-24 anni,Totale,Totale,2022,1516
Italia,Maschi,20-24 anni,Totale,Totale,2023,1508
Italia,Maschi,20-24 anni,Totale,Totale,2024,1519
Italia,Maschi,20-24 anni,Totale,Totale,2025,1530
Italia,Maschi,15-24 anni,Forze lavoro,No,2018,823
Italia,Maschi,15-24 anni,Forze lavoro,No,2019,814
Italia,Maschi,15-24 anni,Forze lavoro,No,2020,775
Italia,Maschi,15-24 anni,Forze lavoro,No,2021,793
Italia,Maschi,15-24 anni,Forze lavoro,No,2022,804
Italia,Maschi,15-24 anni,Forze lavoro,No,2023,819
Italia,Maschi,15-24 anni,Forze lavoro,No,2024,797
Italia,Maschi,15-24 anni,Forze lavoro,No,2025,724
Italia,Maschi,15-24 anni,Forze lavoro,Si,2018,69
Italia,Maschi,15-24 anni,Forze lavoro,Si,2019,71
Italia,Maschi,15-24 anni,Forze lavoro,Si,2020,68
Italia,Maschi,15-24 anni,Forze lavoro,Si,2021,84
Italia,Maschi,15-24 anni,Forze lavoro,Si,2022,97
Italia,Maschi,15-24 anni,Forze lavoro,Si,2023,104
Italia,Maschi,15-24 anni,Forze lavoro,Si,2024,98
Italia,Maschi,15-24 anni,Forze lavoro,Si,2025,76
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2017,895
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2018,892
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2019,884
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2020,842
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2021,878
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2022,901
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2023,923
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2024,895
Italia,Maschi,15-24 anni,Forze lavoro,Totale,2025,800
Italia,Maschi,15-24 anni,Occupati,No,2018,568
Italia,Maschi,15-24 anni,Occupati,No,2019,583
Italia,Maschi,15-24 anni,Occupati,No,2020,551
Italia,Maschi,15-24 anni,Occupati,No,2021,570
Italia,Maschi,15-24 anni,Occupati,No,2022,617
Italia,Maschi,15-24 anni,Occupati,No,2023,639
Italia,Maschi,15-24 anni,Occupati,No,2024,637
Italia,Maschi,15-24 anni,Occupati,No,2025,581
Italia,Maschi,15-24 anni,Occupati,Si,2018,53
Italia,Maschi,15-24 anni,Occupati,Si,2019,55
Italia,Maschi,15-24 anni,Occupati,Si,2020,53
Italia,Maschi,15-24 anni,Occupati,Si,2021,65
Italia,Maschi,15-24 anni,Occupati,Si,2022,83
Italia,Maschi,15-24 anni,Occupati,Si,2023,89
Italia,Maschi,15-24 anni,Occupati,Si,2024,87
Italia,Maschi,15-24 anni,Occupati,Si,2025,63
Italia,Maschi,15-24 anni,Occupati,Totale,2017,601
Italia,Maschi,15-24 anni,Occupati,Totale,2018,621
Italia,Maschi,15-24 anni,Occupati,Totale,2019,639
Italia,Maschi,15-24 anni,Occupati,Totale,2020,604
